"filename", "language", "CSS", "JavaScript", "HTML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\dashboard.css", "CSS", -7, 0, 0, 0, 0, 9, 0, 2
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\delivery.css", "CSS", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\display.css", "CSS", 7, 0, 0, 0, 0, 4, 0, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\exchange.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\filter.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\footer.css", "CSS", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\header_resp.css", "CSS", 15, 0, 0, 0, 0, 3, 0, 18
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\login.css", "CSS", -6, 0, 0, 0, 0, 6, 0, 0
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\modal.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\policy.css", "CSS", 53, 0, 0, 0, 0, 2, 10, 65
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\productMain.css", "CSS", 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\products.css", "CSS", 4, 0, 0, 0, 0, 3, 0, 7
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\review.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\sizes.css", "CSS", 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\sizetable.css", "CSS", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\success.css", "CSS", -7, 0, 0, 0, 0, 6, 0, -1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\summary.css", "CSS", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\tab.css", "CSS", 14, 0, 0, 0, 0, 2, 1, 17
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\tablet.css", "CSS", 397, 0, 0, 0, 0, 10, 0, 407
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\arraytoObj_sizebased.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\calculate.js", "JavaScript", 0, -1, 0, 0, 0, 2, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\changeCurrency.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\country.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\create_discount.js", "JavaScript", 0, 26, 0, 0, 0, 1, 1, 28
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\currencies.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\deleteUser.js", "JavaScript", 0, 19, 0, 0, 0, 1, 2, 22
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\delete_product.js", "JavaScript", 0, 22, 0, 0, 0, 1, 1, 24
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\geolocate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\getShipment.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\load_image.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_exchange.js", "JavaScript", 0, 24, 0, 0, 0, 5, 2, 31
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_product.js", "JavaScript", 0, 24, 0, 0, 0, 1, 1, 26
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_shipment.js", "JavaScript", 0, 24, 0, 0, 0, 5, 1, 30
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\process_product_data.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\send_locked_to_be.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\suscribe.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\uri.js", "JavaScript", 0, 10, 0, 0, 0, 25, 3, 38
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\verify_admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\verify_discount.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\socket.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\test.css", "CSS", 50, 0, 0, 0, 0, 3, 9, 62
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\test.html", "HTML", 0, 0, -31, 0, 0, 0, -4, -35
"Total", "-", 667, 279, -16, 1335, 38, 329, 225, 2857
