Date : 2023-07-13 00:12:26
Directory : c:\Users\HP\Documents\e-commerce\e-commerce-ui
Total : 85 files,  2303 codes, 329 comments, 225 blanks, all 2857 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\summary.jsx        | JavaScript JSX |         93 |          3 |          3 |         99 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\tab.jsx            | JavaScript JSX |         25 |          0 |          3 |         28 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\table.jsx          | JavaScript JSX |         66 |          0 |          3 |         69 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\tileAlert.jsx      | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\topNav.jsx         | JavaScript JSX |         -4 |         10 |          1 |          7 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\components\view.jsx           | JavaScript JSX |          2 |          0 |          0 |          2 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\add_prod.css              | CSS            |          6 |         13 |          2 |         21 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\dashboard.css             | CSS            |         -7 |          9 |          0 |          2 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\delivery.css              | CSS            |         10 |          0 |          1 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\display.css               | CSS            |          7 |          4 |          0 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\exchange.css              | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\filter.css                | CSS            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\footer.css                | CSS            |         20 |          0 |          5 |         25 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\header_resp.css           | CSS            |         15 |          3 |          0 |         18 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\login.css                 | CSS            |         -6 |          6 |          0 |          0 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\modal.css                 | CSS            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\policy.css                | CSS            |         53 |          2 |         10 |         65 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\productMain.css           | CSS            |         16 |          1 |          1 |         18 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\products.css              | CSS            |          4 |          3 |          0 |          7 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\review.css                | CSS            |          0 |          1 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\sizes.css                 | CSS            |         28 |          0 |          3 |         31 |
