"filename", "language", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\landing.jsx", "JavaScript JSX", 0, 0, 0, 0, 201, 0, 0, 71, 32, 304
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 36, 18, 169
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 268, 0, 0, 27, 26, 321
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\orders.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 2, 11, 75
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 4, 3, 21
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\path.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 2, 8, 34
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\payment_success.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\policy.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 1, 5, 49
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\prodView.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\prod_admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
